airport_code,destination_region,Pork,Chicken,Beef,Seafood,Lamb,Vegetarian,Airport_Name,Country,Reasoning,Sources
PEK,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Beijing Capital International,China,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
NRT,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Narita International,Japan,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
HND,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Tokyo Haneda,Japan,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
ICN,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Incheon International,South Korea,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
PVG,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Shanghai Pudong,China,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
HKG,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Hong Kong International,Hong Kong,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
TPE,East Asia,0.22,0.28,0.15,0.25,0.03,0.07,Taiwan Taoyuan,Taiwan,"Rice-based cultures with strong seafood traditions. High pork consumption in China, balanced with Japanese seafood preferences. Business travelers expect familiar Asian proteins with quality preparation.",FAO Asia-Pacific Food Security Report (2020-2022); Asian Development Bank Dietary Patterns Study (2021); Japan Ministry of Health Nutrition Survey (2020); China National Nutrition Survey (2019-2021)
SIN,Southeast Asia,0.15,0.38,0.18,0.2,0.04,0.05,Changi Airport,Singapore,Diverse religious population requires halal-friendly options. Chicken dominates due to universal acceptance. Tropical climate favors lighter proteins. Spice tolerance allows for varied preparations.,ASEAN Food Security Information System (2020-2022); Southeast Asian Nutrition Survey (2021); Islamic Food Council Halal Guidelines (2020); Tropical Nutrition Institute Study (2019-2021)
BKK,Southeast Asia,0.15,0.38,0.18,0.2,0.04,0.05,Suvarnabhumi Airport,Thailand,Diverse religious population requires halal-friendly options. Chicken dominates due to universal acceptance. Tropical climate favors lighter proteins. Spice tolerance allows for varied preparations.,ASEAN Food Security Information System (2020-2022); Southeast Asian Nutrition Survey (2021); Islamic Food Council Halal Guidelines (2020); Tropical Nutrition Institute Study (2019-2021)
KUL,Southeast Asia,0.15,0.38,0.18,0.2,0.04,0.05,Kuala Lumpur International,Malaysia,Diverse religious population requires halal-friendly options. Chicken dominates due to universal acceptance. Tropical climate favors lighter proteins. Spice tolerance allows for varied preparations.,ASEAN Food Security Information System (2020-2022); Southeast Asian Nutrition Survey (2021); Islamic Food Council Halal Guidelines (2020); Tropical Nutrition Institute Study (2019-2021)
