segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK JFK,2024-06-01,Saturday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",28,55,50.91,4.0,51.0,7.84,Lamb
BKK JFK,2024-06-01,Saturday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,27,55,49.09,47.0,51.0,92.16,Chicken
BKK JFK,2024-06-01,Saturday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,27,53,50.94,32.0,51.0,62.75,Chicken
BKK JFK,2024-06-01,Saturday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",26,53,49.06,19.0,51.0,37.25,Beef
BKK JFK,2024-06-01,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,86,86,100.0,,,,nan
BKK JFK,2024-06-02,Sunday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",23,45,51.11,3.0,45.0,6.67,Lamb
BKK JFK,2024-06-02,Sunday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,22,45,48.89,42.0,45.0,93.33,Chicken
BKK JFK,2024-06-02,Sunday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,22,44,50.0,31.0,45.0,68.89,Chicken
BKK JFK,2024-06-02,Sunday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",22,44,50.0,14.0,45.0,31.11,Beef
BKK JFK,2024-06-02,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,78,78,100.0,,,,nan
BKK JFK,2024-06-03,Monday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",26,51,50.98,3.0,48.0,6.25,Lamb
BKK JFK,2024-06-03,Monday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,25,51,49.02,45.0,48.0,93.75,Chicken
BKK JFK,2024-06-03,Monday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,25,50,50.0,34.0,48.0,70.83,Chicken
BKK JFK,2024-06-03,Monday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",25,50,50.0,14.0,48.0,29.17,Beef
BKK JFK,2024-06-03,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,71,71,100.0,,,,nan
BKK JFK,2024-06-04,Tuesday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,22,44,50.0,42.0,44.0,95.45,Chicken
BKK JFK,2024-06-04,Tuesday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",22,44,50.0,2.0,44.0,4.55,Lamb
BKK JFK,2024-06-04,Tuesday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,22,43,51.16,30.0,44.0,68.18,Chicken
BKK JFK,2024-06-04,Tuesday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",21,43,48.84,14.0,44.0,31.82,Beef
BKK JFK,2024-06-04,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,80,80,100.0,,,,nan
BKK JFK,2024-06-05,Wednesday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",20,40,50.0,3.0,38.0,7.89,Lamb
BKK JFK,2024-06-05,Wednesday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,20,40,50.0,35.0,38.0,92.11,Chicken
BKK JFK,2024-06-05,Wednesday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,20,40,50.0,27.0,38.0,71.05,Chicken
BKK JFK,2024-06-05,Wednesday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",20,40,50.0,11.0,38.0,28.95,Beef
BKK JFK,2024-06-05,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,67,67,100.0,,,,nan
BKK JFK,2024-06-06,Thursday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",21,41,51.22,2.0,34.0,5.88,Lamb
BKK JFK,2024-06-06,Thursday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,20,41,48.78,32.0,34.0,94.12,Chicken
BKK JFK,2024-06-06,Thursday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",19,39,48.72,7.0,34.0,20.59,Beef
BKK JFK,2024-06-06,Thursday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,20,39,51.28,27.0,34.0,79.41,Chicken
BKK JFK,2024-06-06,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,74,74,100.0,,,,nan
BKK JFK,2024-06-07,Friday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,20,41,48.78,35.0,37.0,94.59,Chicken
BKK JFK,2024-06-07,Friday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",21,41,51.22,2.0,37.0,5.41,Lamb
BKK JFK,2024-06-07,Friday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,21,41,51.22,24.0,37.0,64.86,Chicken
BKK JFK,2024-06-07,Friday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",20,41,48.78,13.0,37.0,35.14,Beef
BKK JFK,2024-06-07,nan,S,Refreshments,Montevibbiano Pizza - Mushroom,80,80,100.0,,,,nan
BKK JFK,2024-06-08,Saturday,S,Dinner,5C24 BKK SCL Hainanese Roasted Chicken Rice,17,34,50.0,31.0,33.0,93.94,Chicken
BKK JFK,2024-06-08,Saturday,S,Dinner,"5C24 BKK SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",17,34,50.0,2.0,33.0,6.06,Lamb
BKK JFK,2024-06-08,Saturday,S,Lunch,"5C24 BKK SCL Thai Beef Oom Curry, steamed rice, seasonal veg",16,33,48.48,11.0,33.0,33.33,Beef
BKK JFK,2024-06-08,Saturday,S,Lunch,5C24 BKK SCL Lemon Oregano Creamed Chicken Pasta,17,33,51.52,22.0,33.0,66.67,Chicken
