segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
BKK MAA,2024-06-01,Saturday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",61,204,29.9,92,211,43.6,Chicken
BKK MAA,2024-06-01,Saturday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",61,204,29.9,47,211,22.27,Seafood
BKK MAA,2024-06-01,Saturday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",82,204,40.2,72,211,34.12,Vegetarian
BKK MAA,2024-06-02,Sunday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",81,202,40.1,59,203,29.06,Vegetarian
BKK MAA,2024-06-02,Sunday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",60,202,29.7,96,203,47.29,Chicken
BKK MAA,2024-06-02,Sunday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",61,202,30.2,48,203,23.65,Seafood
BKK MAA,2024-06-03,Monday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",54,179,30.17,49,185,26.49,Seafood
BKK MAA,2024-06-03,Monday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",53,179,29.61,85,185,45.95,Chicken
BKK MAA,2024-06-03,Monday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",72,179,40.22,51,185,27.57,Vegetarian
BKK MAA,2024-06-04,Tuesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",81,202,40.1,73,221,33.03,Vegetarian
BKK MAA,2024-06-04,Tuesday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",61,202,30.2,50,221,22.62,Seafood
BKK MAA,2024-06-04,Tuesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",60,202,29.7,98,221,44.34,Chicken
BKK MAA,2024-06-05,Wednesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",81,201,40.3,63,202,31.19,Vegetarian
BKK MAA,2024-06-05,Wednesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",60,201,29.85,93,202,46.04,Chicken
BKK MAA,2024-06-05,Wednesday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",60,201,29.85,46,202,22.77,Seafood
BKK MAA,2024-06-06,Thursday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",72,180,40.0,54,187,28.88,Vegetarian
BKK MAA,2024-06-06,Thursday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",54,180,30.0,87,187,46.52,Chicken
BKK MAA,2024-06-06,Thursday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",54,180,30.0,46,187,24.6,Seafood
BKK MAA,2024-06-07,Friday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",77,191,40.31,53,193,27.46,Vegetarian
BKK MAA,2024-06-07,Friday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",57,191,29.84,47,193,24.35,Seafood
BKK MAA,2024-06-07,Friday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",57,191,29.84,93,193,48.19,Chicken
BKK MAA,2024-06-08,Saturday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",74,183,40.44,58,191,30.37,Vegetarian
BKK MAA,2024-06-08,Saturday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",54,183,29.51,84,191,43.98,Chicken
BKK MAA,2024-06-08,Saturday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",55,183,30.05,49,191,25.65,Seafood
BKK MAA,2024-06-09,Sunday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",80,200,40.0,59,205,28.78,Vegetarian
BKK MAA,2024-06-09,Sunday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",60,200,30.0,94,205,45.85,Chicken
BKK MAA,2024-06-09,Sunday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",60,200,30.0,52,205,25.37,Seafood
BKK MAA,2024-06-10,Monday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",85,212,40.09,53,207,25.6,Vegetarian
BKK MAA,2024-06-10,Monday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",63,212,29.72,100,207,48.31,Chicken
BKK MAA,2024-06-10,Monday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",64,212,30.19,54,207,26.09,Seafood
BKK MAA,2024-06-11,Tuesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",55,184,29.89,91,197,46.19,Chicken
BKK MAA,2024-06-11,Tuesday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",55,184,29.89,49,197,24.87,Seafood
BKK MAA,2024-06-11,Tuesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",74,184,40.22,57,197,28.93,Vegetarian
BKK MAA,2024-06-12,Wednesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",53,178,29.78,83,178,46.63,Chicken
BKK MAA,2024-06-12,Wednesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",72,178,40.45,52,178,29.21,Vegetarian
BKK MAA,2024-06-12,Wednesday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",53,178,29.78,43,178,24.16,Seafood
BKK MAA,2024-06-13,Thursday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",52,175,29.71,81,170,47.65,Chicken
BKK MAA,2024-06-13,Thursday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",70,175,40.0,47,170,27.65,Vegetarian
BKK MAA,2024-06-13,Thursday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",53,175,30.29,42,170,24.71,Seafood
BKK MAA,2024-06-14,Friday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",58,195,29.74,96,209,45.93,Chicken
BKK MAA,2024-06-14,Friday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",59,195,30.26,54,209,25.84,Seafood
BKK MAA,2024-06-14,Friday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",78,195,40.0,59,209,28.23,Vegetarian
BKK MAA,2024-06-15,Saturday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",55,182,30.22,45,183,24.59,Seafood
BKK MAA,2024-06-15,Saturday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",54,182,29.67,79,183,43.17,Chicken
BKK MAA,2024-06-15,Saturday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",73,182,40.11,59,183,32.24,Vegetarian
BKK MAA,2024-06-16,Sunday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",53,177,29.94,47,172,27.33,Seafood
BKK MAA,2024-06-16,Sunday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",53,177,29.94,82,172,47.67,Chicken
BKK MAA,2024-06-16,Sunday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",71,177,40.11,43,172,25.0,Vegetarian
BKK MAA,2024-06-17,Monday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",47,158,29.75,69,150,46.0,Chicken
BKK MAA,2024-06-17,Monday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",47,158,29.75,38,150,25.33,Seafood
BKK MAA,2024-06-17,Monday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",64,158,40.51,43,150,28.67,Vegetarian
BKK MAA,2024-06-18,Tuesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",70,175,40.0,48,164,29.27,Vegetarian
BKK MAA,2024-06-18,Tuesday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",53,175,30.29,37,164,22.56,Seafood
BKK MAA,2024-06-18,Tuesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",52,175,29.71,79,164,48.17,Chicken
BKK MAA,2024-06-19,Wednesday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",46,154,29.87,68,143,47.55,Chicken
BKK MAA,2024-06-19,Wednesday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",62,154,40.26,39,143,27.27,Vegetarian
BKK MAA,2024-06-19,Wednesday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",46,154,29.87,36,143,25.17,Seafood
BKK MAA,2024-06-20,Thursday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",40,134,29.85,28,127,22.05,Seafood
BKK MAA,2024-06-20,Thursday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",40,134,29.85,61,127,48.03,Chicken
BKK MAA,2024-06-20,Thursday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",54,134,40.3,38,127,29.92,Vegetarian
BKK MAA,2024-06-21,Friday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",44,108,40.74,25,99,25.25,Vegetarian
BKK MAA,2024-06-21,Friday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",32,108,29.63,30,99,30.3,Seafood
BKK MAA,2024-06-21,Friday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",32,108,29.63,44,99,44.44,Chicken
BKK MAA,2024-06-22,Saturday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",41,135,30.37,33,130,25.38,Seafood
BKK MAA,2024-06-22,Saturday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",40,135,29.63,60,130,46.15,Chicken
BKK MAA,2024-06-22,Saturday,Y,Dinner,"5C19 BKK LRG Carrot and peas poriyal, Lentil Curry, Steamed Basmati Rice",54,135,40.0,37,130,28.46,Vegetarian
BKK MAA,2024-06-23,Sunday,Y,Dinner,"5C22 BKK LRG Chicken Chettitnad, Elumichai Pulao, Carrot Peas Poriyal",51,173,29.48,87,170,51.18,Chicken
BKK MAA,2024-06-23,Sunday,Y,Dinner,"5C19 BKK LRG Herb Crusted Fish, Mashed potato, Edamame, Carrot",52,173,30.06,47,170,27.65,Seafood
