segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
PEK BKK,2024-06-01,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",75,151,49.67,103,155,66.45,Chicken
PEK BKK,2024-06-01,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",76,151,50.33,52,155,33.55,Beef
PEK BKK,2024-06-01,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",77,154,50.0,52,155,33.55,Beef
PEK BKK,2024-06-01,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",78,155,50.32,52,155,33.55,Beef
PEK BKK,2024-06-01,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",77,155,49.68,103,155,66.45,Chicken
PEK BKK,2024-06-01,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",77,154,50.0,103,155,66.45,Chicken
PEK BKK,2024-06-02,Sunday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",72,144,50.0,99,146,67.81,Chicken
PEK BKK,2024-06-02,Sunday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",72,144,50.0,47,146,32.19,Beef
PEK BKK,2024-06-02,Sunday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",71,142,50.0,47,146,32.19,Beef
PEK BKK,2024-06-02,Sunday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",71,142,50.0,99,146,67.81,Chicken
PEK BKK,2024-06-03,Monday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",67,134,50.0,89,133,66.92,Chicken
PEK BKK,2024-06-03,Monday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",67,134,50.0,44,133,33.08,Beef
PEK BKK,2024-06-03,Monday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",68,136,50.0,89,133,66.92,Chicken
PEK BKK,2024-06-03,Monday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",68,136,50.0,44,133,33.08,Beef
PEK BKK,2024-06-04,Tuesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",62,124,50.0,40,123,32.52,Beef
PEK BKK,2024-06-04,Tuesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",61,122,50.0,40,123,32.52,Beef
PEK BKK,2024-06-04,Tuesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",62,123,50.41,40,123,32.52,Beef
PEK BKK,2024-06-04,Tuesday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",61,123,49.59,83,123,67.48,Chicken
PEK BKK,2024-06-04,Tuesday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",61,122,50.0,83,123,67.48,Chicken
PEK BKK,2024-06-04,Tuesday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",62,124,50.0,83,123,67.48,Chicken
PEK BKK,2024-06-05,Wednesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",65,129,50.39,39,129,30.23,Beef
PEK BKK,2024-06-05,Wednesday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",64,129,49.61,90,129,69.77,Chicken
PEK BKK,2024-06-06,Thursday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",57,114,50.0,76,111,68.47,Chicken
PEK BKK,2024-06-06,Thursday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",57,114,50.0,35,111,31.53,Beef
PEK BKK,2024-06-07,Friday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",72,145,49.66,93,139,66.91,Chicken
PEK BKK,2024-06-07,Friday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",71,142,50.0,93,139,66.91,Chicken
PEK BKK,2024-06-07,Friday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",75,150,50.0,46,139,33.09,Beef
PEK BKK,2024-06-07,Friday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",75,150,50.0,93,139,66.91,Chicken
PEK BKK,2024-06-07,Friday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",71,142,50.0,46,139,33.09,Beef
PEK BKK,2024-06-07,Friday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",73,145,50.34,46,139,33.09,Beef
PEK BKK,2024-06-08,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",81,162,50.0,53,156,33.97,Beef
PEK BKK,2024-06-08,Saturday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",78,156,50.0,53,156,33.97,Beef
PEK BKK,2024-06-08,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",81,162,50.0,103,156,66.03,Chicken
PEK BKK,2024-06-08,Saturday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",78,156,50.0,103,156,66.03,Chicken
PEK BKK,2024-06-09,Sunday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",75,150,50.0,50,154,32.47,Beef
PEK BKK,2024-06-09,Sunday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",75,150,50.0,104,154,67.53,Chicken
PEK BKK,2024-06-09,Sunday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",74,148,50.0,104,154,67.53,Chicken
PEK BKK,2024-06-09,Sunday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",74,148,50.0,50,154,32.47,Beef
PEK BKK,2024-06-09,Sunday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",77,154,50.0,50,154,32.47,Beef
PEK BKK,2024-06-09,Sunday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",77,154,50.0,104,154,67.53,Chicken
PEK BKK,2024-06-10,Monday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",72,144,50.0,97,147,65.99,Chicken
PEK BKK,2024-06-10,Monday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",74,149,49.66,97,147,65.99,Chicken
PEK BKK,2024-06-10,Monday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",75,149,50.34,50,147,34.01,Beef
PEK BKK,2024-06-10,Monday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",72,144,50.0,50,147,34.01,Beef
PEK BKK,2024-06-11,Tuesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",74,147,50.34,49,146,33.56,Beef
PEK BKK,2024-06-11,Tuesday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",73,147,49.66,97,146,66.44,Chicken
PEK BKK,2024-06-12,Wednesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",68,135,50.37,42,135,31.11,Beef
PEK BKK,2024-06-12,Wednesday,Y,Dinner,"Spring onion oil noodle with braised chicken and mushrooms,china,large cass",67,135,49.63,93,135,68.89,Chicken
PEK BKK,2024-06-12,Wednesday,Y,Dinner,"Pasta beef bolognaise,dice vegetable,large cass",67,133,50.38,42,135,31.11,Beef
