segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
SIN CDG,2025-04-02,Wednesday,Y,Dinner,"5C19 SIN FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",24,62,38.71,18,61,29.51,Seafood
SIN CDG,2025-04-02,Wednesday,Y,Dinner,5C22 SIN FFM Grilled Chicken Breast with Thyme Jus,38,62,61.29,43,61,70.49,Chicken
SIN CDG,2025-04-02,Wednesday,Y,Lunch,"5C19 SIN FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",38,62,61.29,43,61,70.49,Chicken
SIN CDG,2025-04-02,Wednesday,Y,Lunch,5C19 SIN FFM Baked Fish with Herbed Sauce,24,62,38.71,18,61,29.51,Seafood
SIN CDG,2025-04-03,Thursday,Y,Dinner,"5C19 SIN FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",43,108,39.81,29,103,28.16,Seafood
SIN CDG,2025-04-03,Thursday,Y,Dinner,5C22 SIN FFM Grilled Chicken Breast with Thyme Jus,65,108,60.19,74,103,71.84,Chicken
SIN CDG,2025-04-03,Thursday,Y,Lunch,5C19 SIN FFM Baked Fish with Herbed Sauce,43,108,39.81,28,103,27.18,Seafood
SIN CDG,2025-04-03,Thursday,Y,Lunch,"5C19 SIN FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",65,108,60.19,75,103,72.82,Chicken
SIN CDG,2025-04-04,Friday,Y,Dinner,5C22 SIN FFM Grilled Chicken Breast with Thyme Jus,72,120,60,78,117,66.67,Chicken
SIN CDG,2025-04-04,Friday,Y,Dinner,"5C19 SIN FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",48,120,40,39,117,33.33,Seafood
SIN CDG,2025-04-04,Friday,Y,Lunch,5C19 SIN FFM Baked Fish with Herbed Sauce,48,120,40,39,117,33.33,Seafood
SIN CDG,2025-04-04,Friday,Y,Lunch,"5C19 SIN FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",72,120,60,78,117,66.67,Chicken
SIN CDG,2025-04-05,Saturday,Y,Dinner,"5C19 SIN FFM Fish in Hot Bean Sauce, Braised Noodles, oriental Veg",52,130,40,46,141,32.62,Seafood
SIN CDG,2025-04-05,Saturday,Y,Dinner,5C22 SIN FFM Grilled Chicken Breast with Thyme Jus,78,130,60,95,141,67.38,Chicken
SIN CDG,2025-04-05,Saturday,Y,Lunch,"5C19 SIN FFM Ginger Spring Onion Chicken, Braised Ee Fu Noodles, chye Sim, Carrot",78,130,60,96,141,68.09,Chicken
