segment,segment_local_departure_date,weekday,cabin_class,meal_time,meal_name,original_meal_count,original_passengers,original_percent,predicted_meal_count,predicted_total_passengers,predicted_percentage,protein_type
SIN JFK,2024-06-01,Saturday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",28,55,50.91,4,51,7.84,Lamb
SIN JFK,2024-06-01,Saturday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,27,55,49.09,47,51,92.16,Chicken
SIN JFK,2024-06-01,Saturday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,27,53,50.94,32,51,62.75,Chicken
SIN JFK,2024-06-01,Saturday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",26,53,49.06,19,51,37.25,Beef
SIN JFK,2024-06-01,,S,Refreshments,Montevibbiano Pizza - Mushroom,86,86,100,,,,
SIN JFK,2024-06-02,Sunday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",23,45,51.11,3,45,6.67,Lamb
SIN JFK,2024-06-02,Sunday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,22,45,48.89,42,45,93.33,Chicken
SIN JFK,2024-06-02,Sunday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,22,44,50,31,45,68.89,Chicken
SIN JFK,2024-06-02,Sunday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",22,44,50,14,45,31.11,Beef
SIN JFK,2024-06-02,,S,Refreshments,Montevibbiano Pizza - Mushroom,78,78,100,,,,
SIN JFK,2024-06-03,Monday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",26,51,50.98,3,48,6.25,Lamb
SIN JFK,2024-06-03,Monday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,25,51,49.02,45,48,93.75,Chicken
SIN JFK,2024-06-03,Monday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,25,50,50,34,48,70.83,Chicken
SIN JFK,2024-06-03,Monday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",25,50,50,14,48,29.17,Beef
SIN JFK,2024-06-03,,S,Refreshments,Montevibbiano Pizza - Mushroom,71,71,100,,,,
SIN JFK,2024-06-04,Tuesday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,22,44,50,42,44,95.45,Chicken
SIN JFK,2024-06-04,Tuesday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",22,44,50,2,44,4.55,Lamb
SIN JFK,2024-06-04,Tuesday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,22,43,51.16,30,44,68.18,Chicken
SIN JFK,2024-06-04,Tuesday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",21,43,48.84,14,44,31.82,Beef
SIN JFK,2024-06-04,,S,Refreshments,Montevibbiano Pizza - Mushroom,80,80,100,,,,
SIN JFK,2024-06-05,Wednesday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",20,40,50,3,38,7.89,Lamb
SIN JFK,2024-06-05,Wednesday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,20,40,50,35,38,92.11,Chicken
SIN JFK,2024-06-05,Wednesday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,20,40,50,27,38,71.05,Chicken
SIN JFK,2024-06-05,Wednesday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",20,40,50,11,38,28.95,Beef
SIN JFK,2024-06-05,,S,Refreshments,Montevibbiano Pizza - Mushroom,67,67,100,,,,
SIN JFK,2024-06-06,Thursday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",21,41,51.22,2,34,5.88,Lamb
SIN JFK,2024-06-06,Thursday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,20,41,48.78,32,34,94.12,Chicken
SIN JFK,2024-06-06,Thursday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",19,39,48.72,7,34,20.59,Beef
SIN JFK,2024-06-06,Thursday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,20,39,51.28,27,34,79.41,Chicken
SIN JFK,2024-06-06,,S,Refreshments,Montevibbiano Pizza - Mushroom,74,74,100,,,,
SIN JFK,2024-06-07,Friday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,20,41,48.78,35,37,94.59,Chicken
SIN JFK,2024-06-07,Friday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",21,41,51.22,2,37,5.41,Lamb
SIN JFK,2024-06-07,Friday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,21,41,51.22,24,37,64.86,Chicken
SIN JFK,2024-06-07,Friday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",20,41,48.78,13,37,35.14,Beef
SIN JFK,2024-06-07,,S,Refreshments,Montevibbiano Pizza - Mushroom,80,80,100,,,,
SIN JFK,2024-06-08,Saturday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,17,34,50,31,33,93.94,Chicken
SIN JFK,2024-06-08,Saturday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",17,34,50,2,33,6.06,Lamb
SIN JFK,2024-06-08,Saturday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",16,33,48.48,11,33,33.33,Beef
SIN JFK,2024-06-08,Saturday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,17,33,51.52,22,33,66.67,Chicken
SIN JFK,2024-06-08,,S,Refreshments,Montevibbiano Pizza - Mushroom,69,69,100,,,,
SIN JFK,2024-06-09,Sunday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",28,56,50,4,58,6.9,Lamb
SIN JFK,2024-06-09,Sunday,S,Dinner,5C24 SIN SCL Hainanese Roasted Chicken Rice,28,56,50,54,58,93.1,Chicken
SIN JFK,2024-06-09,Sunday,S,Lunch,"5C24 SIN SCL Thai Beef Oom Curry, steamed rice, seasonal veg",28,56,50,20,58,34.48,Beef
SIN JFK,2024-06-09,Sunday,S,Lunch,5C24 SIN SCL Lemon Oregano Creamed Chicken Pasta,28,56,50,38,58,65.52,Chicken
SIN JFK,2024-06-09,,S,Refreshments,Montevibbiano Pizza - Mushroom,82,82,100,,,,
SIN JFK,2024-06-10,Monday,S,Dinner,"5C24 SIN SCL & BTC Slow Braised Lamb with Carrots, Apricot, Roasted Cumin Potato",23,46,50,2,41,4.88,Lamb
